Summary,Issue Type,Description,Priority,Epic Name,Epic Link,Labels,Story Points
"AUTH - Authentification et acces","Epic","Gestion de la connexion, session, deconnexion et securite d'acces.","Highest","QWENTA-AUTH",,"qwenta,auth,mvp",
"MENU - Creation et edition de menu","Epic","Fonctionnalites coeur de creation de menus et de plats.","Highest","QWENTA-MENU",,"qwenta,menu,mvp",
"STYLE - Personnalisation visuelle","Epic","Personnalisation typo, couleurs et apercu temps reel.","High","QWENTA-STYLE",,"qwenta,ui,ux",
"EXPORT - PDF et impression","Epic","Export du menu en PDF et impression depuis l'application.","Highest","QWENTA-EXPORT",,"qwenta,export,mvp",
"MES MENUS - Historique et gestion","Epic","Lister, modifier, supprimer les menus precedemment crees.","High","QWENTA-MES-MENUS",,"qwenta,crud",
"LEGAL - Mentions legales et tarifs","Epic","Pages informatives legales et tarifaires.","Medium","QWENTA-LEGAL",,"qwenta,legal",
"DIFFUSION - Partage externe","Epic","Diffusion vers partenaires et reseaux sociaux.","Medium","QWENTA-DIFFUSION",,"qwenta,sharing",
"PROFIL - Compte et branding restaurant","Epic","Gestion du profil restaurant, logo et couleurs.","High","QWENTA-PROFIL",,"qwenta,profil",
"Page login avec validation des champs","Story","Creer un formulaire de connexion avec messages d'erreur clairs et validation robuste.","Highest",,"QWENTA-AUTH","qwenta,auth,frontend",5
"Gestion session utilisateur","Story","Conserver la session utilisateur et proteger les routes privees.","Highest",,"QWENTA-AUTH","qwenta,auth,frontend",5
"Deconnexion depuis header/sidebar","Task","Ajouter un bouton de deconnexion visible et accessible depuis les pages connectees.","High",,"QWENTA-AUTH","qwenta,auth,ui",2
"Creation de menu depuis dashboard","Story","Permettre de creer un menu avec titre, categories et plats.","Highest",,"QWENTA-MENU","qwenta,menu,mvp",8
"Ajout de plats par categorie via modale","Story","Ajouter un flux d'ajout de plat via modale cote front React.","Highest",,"QWENTA-MENU","qwenta,menu,ui",5
"Validation du formulaire de plat","Task","Controler les champs requis et afficher les erreurs utilisateur.","High",,"QWENTA-MENU","qwenta,menu,quality",3
"Edition et suppression d'un plat","Story","Permettre la modification et la suppression dans le builder de menu.","High",,"QWENTA-MENU","qwenta,menu,crud",5
"Apercu du menu en temps reel","Story","Afficher un apercu instantane des changements de contenu.","High",,"QWENTA-STYLE","qwenta,style,ux",5
"Selecteur de typographie","Task","Ajouter la selection de police appliquee en direct sur l'apercu.","Medium",,"QWENTA-STYLE","qwenta,style,ui",3
"Selecteur de couleurs du texte","Task","Permettre le choix de couleur du texte avec mise a jour instantanee.","Medium",,"QWENTA-STYLE","qwenta,style,ui",3
"Export PDF en un clic","Story","Generer un PDF a partir du rendu HTML du menu.","Highest",,"QWENTA-EXPORT","qwenta,export,mvp",8
"Comparatif html2pdf.js vs jsPDF","Task","Valider la librairie la plus adaptee entre rapidite d'integration et controle fin.","Medium",,"QWENTA-EXPORT","qwenta,export,tech",2
"Impression du menu","Story","Permettre l'impression via lien/bouton dedie sans interrompre la navigation.","High",,"QWENTA-EXPORT","qwenta,export,ux",3
"Page Mes menus","Story","Lister les menus crees, avec tri et date de mise a jour.","High",,"QWENTA-MES-MENUS","qwenta,mes-menus,frontend",5
"Modifier un menu existant","Story","Reprendre un menu existant et le reediter.","High",,"QWENTA-MES-MENUS","qwenta,mes-menus,crud",5
"Supprimer un menu","Task","Supprimer un menu avec confirmation utilisateur.","Medium",,"QWENTA-MES-MENUS","qwenta,mes-menus,crud",2
"Page Mentions legales","Story","Afficher une page ou modale de mentions legales accessible.","Medium",,"QWENTA-LEGAL","qwenta,legal,content",3
"Ajout lien Tarifs","Task","Ajouter un lien tarifs dans la navigation principale.","Medium",,"QWENTA-LEGAL","qwenta,legal,ui",1
"Lien Deliveroo/partenaires","Story","Permettre la diffusion via lien externe partenaire.","Medium",,"QWENTA-DIFFUSION","qwenta,diffusion,partenaire",3
"Preparation export visuel Instagram","Story","Creer un export image carre compatible Instagram.","Medium",,"QWENTA-DIFFUSION","qwenta,diffusion,social",5
"Modifier infos utilisateur","Story","Creer le formulaire de modification des informations de compte.","High",,"QWENTA-PROFIL","qwenta,profil,frontend",5
"Definir branding restaurant (logo/couleurs)","Story","Configurer logo et couleurs de marque dans l'interface.","High",,"QWENTA-PROFIL","qwenta,profil,ui",5
"Compatibilite navigateurs recents","Task","Valider Chrome, Firefox, Edge, Safari (versions recentes).","Medium",,"QWENTA-STYLE","qwenta,qa,accessibilite",3
"Responsive desktop/tablette/mobile","Task","Assurer l'accessibilite des fonctionnalites principales sur tous appareils.","High",,"QWENTA-STYLE","qwenta,qa,responsive",5
"Durcissement securite auth","Task","Hash des mots de passe, expiration de session, regles de mot de passe.","Highest",,"QWENTA-AUTH","qwenta,securite,backend",5
"Connexion HTTPS et sauvegardes","Task","Configurer HTTPS et politique de sauvegarde reguliere des donnees.","High",,"QWENTA-EXPORT","qwenta,securite,ops",3
"Contrat de maintenance et support","Task","Definir surveillance, correction bugs, mises a jour et SLA de support.","Medium",,"QWENTA-PROFIL","qwenta,maintenance,ops",2