Summary,Description,Priority
"[EPIC] AUTH - Authentification et acces","Gestion de la connexion, session, deconnexion et securite d'acces.","Highest"
"[EPIC] MENU - Creation et edition de menu","Fonctionnalites coeur de creation de menus et de plats.","Highest"
"[EPIC] STYLE - Personnalisation visuelle","Personnalisation typo, couleurs et apercu temps reel.","High"
"[EPIC] EXPORT - PDF et impression","Export du menu en PDF et impression depuis l'application.","Highest"
"[EPIC] MES MENUS - Historique et gestion","Lister, modifier, supprimer les menus precedemment crees.","High"
"[EPIC] LEGAL - Mentions legales et tarifs","Pages informatives legales et tarifaires.","Medium"
"[EPIC] DIFFUSION - Partage externe","Diffusion vers partenaires et reseaux sociaux.","Medium"
"[EPIC] PROFIL - Compte et branding restaurant","Gestion du profil restaurant, logo et couleurs.","High"
"[STORY] Page login avec validation des champs","Creer un formulaire de connexion avec messages d'erreur clairs et validation robuste.","Highest"
"[STORY] Gestion session utilisateur","Conserver la session utilisateur et proteger les routes privees.","Highest"
"[TASK] Deconnexion depuis header/sidebar","Ajouter un bouton de deconnexion visible et accessible depuis les pages connectees.","High"
"[STORY] Creation de menu depuis dashboard","Permettre de creer un menu avec titre, categories et plats.","Highest"
"[STORY] Ajout de plats par categorie via modale","Ajouter un flux d'ajout de plat via modale cote front React.","Highest"
"[TASK] Validation du formulaire de plat","Controler les champs requis et afficher les erreurs utilisateur.","High"
"[STORY] Edition et suppression d'un plat","Permettre la modification et la suppression dans le builder de menu.","High"
"[STORY] Apercu du menu en temps reel","Afficher un apercu instantane des changements de contenu.","High"
"[TASK] Selecteur de typographie","Ajouter la selection de police appliquee en direct sur l'apercu.","Medium"
"[TASK] Selecteur de couleurs du texte","Permettre le choix de couleur du texte avec mise a jour instantanee.","Medium"
"[STORY] Export PDF en un clic","Generer un PDF a partir du rendu HTML du menu.","Highest"
"[TASK] Comparatif html2pdf.js vs jsPDF","Valider la librairie la plus adaptee entre rapidite d'integration et controle fin.","Medium"
"[STORY] Impression du menu","Permettre l'impression via lien/bouton dedie sans interrompre la navigation.","High"
"[STORY] Page Mes menus","Lister les menus crees, avec tri et date de mise a jour.","High"
"[STORY] Modifier un menu existant","Reprendre un menu existant et le reediter.","High"
"[TASK] Supprimer un menu","Supprimer un menu avec confirmation utilisateur.","Medium"
"[STORY] Page Mentions legales","Afficher une page ou modale de mentions legales accessible.","Medium"
"[TASK] Ajout lien Tarifs","Ajouter un lien tarifs dans la navigation principale.","Medium"
"[STORY] Lien Deliveroo/partenaires","Permettre la diffusion via lien externe partenaire.","Medium"
"[STORY] Preparation export visuel Instagram","Creer un export image carre compatible Instagram.","Medium"
"[STORY] Modifier infos utilisateur","Creer le formulaire de modification des informations de compte.","High"
"[STORY] Definir branding restaurant (logo/couleurs)","Configurer logo et couleurs de marque dans l'interface.","High"
"[TASK] Compatibilite navigateurs recents","Valider Chrome, Firefox, Edge, Safari (versions recentes).","Medium"
"[TASK] Responsive desktop/tablette/mobile","Assurer l'accessibilite des fonctionnalites principales sur tous appareils.","High"
"[TASK] Durcissement securite auth","Hash des mots de passe, expiration de session, regles de mot de passe.","Highest"
"[TASK] Connexion HTTPS et sauvegardes","Configurer HTTPS et politique de sauvegarde reguliere des donnees.","High"
"[TASK] Contrat de maintenance et support","Definir surveillance, correction bugs, mises a jour et SLA de support.","Medium"