Summary,Description,Priority,Labels
"[EPIC] AUTH - Authentification et acces","Gestion de la connexion, session, deconnexion et securite d'acces.","Highest","qwenta,epic,auth,mvp"
"[EPIC] MENU - Creation et edition de menu","Fonctionnalites coeur de creation de menus et de plats.","Highest","qwenta,epic,menu,mvp"
"[EPIC] STYLE - Personnalisation visuelle","Personnalisation typo, couleurs et apercu temps reel.","High","qwenta,epic,ui,ux"
"[EPIC] EXPORT - PDF et impression","Export du menu en PDF et impression depuis l'application.","Highest","qwenta,epic,export,mvp"
"[EPIC] MES MENUS - Historique et gestion","Lister, modifier, supprimer les menus precedemment crees.","High","qwenta,epic,crud"
"[EPIC] LEGAL - Mentions legales et tarifs","Pages informatives legales et tarifaires.","Medium","qwenta,epic,legal"
"[EPIC] DIFFUSION - Partage externe","Diffusion vers partenaires et reseaux sociaux.","Medium","qwenta,epic,sharing"
"[EPIC] PROFIL - Compte et branding restaurant","Gestion du profil restaurant, logo et couleurs.","High","qwenta,epic,profil"
"[STORY] Page login avec validation des champs","Creer un formulaire de connexion avec messages d'erreur clairs et validation robuste.","Highest","qwenta,story,auth,frontend"
"[STORY] Gestion session utilisateur","Conserver la session utilisateur et proteger les routes privees.","Highest","qwenta,story,auth,frontend"
"[TASK] Deconnexion depuis header/sidebar","Ajouter un bouton de deconnexion visible et accessible depuis les pages connectees.","High","qwenta,task,auth,ui"
"[STORY] Creation de menu depuis dashboard","Permettre de creer un menu avec titre, categories et plats.","Highest","qwenta,story,menu,mvp"
"[STORY] Ajout de plats par categorie via modale","Ajouter un flux d'ajout de plat via modale cote front React.","Highest","qwenta,story,menu,ui"
"[TASK] Validation du formulaire de plat","Controler les champs requis et afficher les erreurs utilisateur.","High","qwenta,task,menu,quality"
"[STORY] Edition et suppression d'un plat","Permettre la modification et la suppression dans le builder de menu.","High","qwenta,story,menu,crud"
"[STORY] Apercu du menu en temps reel","Afficher un apercu instantane des changements de contenu.","High","qwenta,story,style,ux"
"[TASK] Selecteur de typographie","Ajouter la selection de police appliquee en direct sur l'apercu.","Medium","qwenta,task,style,ui"
"[TASK] Selecteur de couleurs du texte","Permettre le choix de couleur du texte avec mise a jour instantanee.","Medium","qwenta,task,style,ui"
"[STORY] Export PDF en un clic","Generer un PDF a partir du rendu HTML du menu.","Highest","qwenta,story,export,mvp"
"[TASK] Comparatif html2pdf.js vs jsPDF","Valider la librairie la plus adaptee entre rapidite d'integration et controle fin.","Medium","qwenta,task,export,tech"
"[STORY] Impression du menu","Permettre l'impression via lien/bouton dedie sans interrompre la navigation.","High","qwenta,story,export,ux"
"[STORY] Page Mes menus","Lister les menus crees, avec tri et date de mise a jour.","High","qwenta,story,mes-menus,frontend"
"[STORY] Modifier un menu existant","Reprendre un menu existant et le reediter.","High","qwenta,story,mes-menus,crud"
"[TASK] Supprimer un menu","Supprimer un menu avec confirmation utilisateur.","Medium","qwenta,task,mes-menus,crud"
"[STORY] Page Mentions legales","Afficher une page ou modale de mentions legales accessible.","Medium","qwenta,story,legal,content"
"[TASK] Ajout lien Tarifs","Ajouter un lien tarifs dans la navigation principale.","Medium","qwenta,task,legal,ui"
"[STORY] Lien Deliveroo/partenaires","Permettre la diffusion via lien externe partenaire.","Medium","qwenta,story,diffusion,partenaire"
"[STORY] Preparation export visuel Instagram","Creer un export image carre compatible Instagram.","Medium","qwenta,story,diffusion,social"
"[STORY] Modifier infos utilisateur","Creer le formulaire de modification des informations de compte.","High","qwenta,story,profil,frontend"
"[STORY] Definir branding restaurant (logo/couleurs)","Configurer logo et couleurs de marque dans l'interface.","High","qwenta,story,profil,ui"
"[TASK] Compatibilite navigateurs recents","Valider Chrome, Firefox, Edge, Safari (versions recentes).","Medium","qwenta,task,qa,accessibilite"
"[TASK] Responsive desktop/tablette/mobile","Assurer l'accessibilite des fonctionnalites principales sur tous appareils.","High","qwenta,task,qa,responsive"
"[TASK] Durcissement securite auth","Hash des mots de passe, expiration de session, regles de mot de passe.","Highest","qwenta,task,securite,backend"
"[TASK] Connexion HTTPS et sauvegardes","Configurer HTTPS et politique de sauvegarde reguliere des donnees.","High","qwenta,task,securite,ops"
"[TASK] Contrat de maintenance et support","Definir surveillance, correction bugs, mises a jour et SLA de support.","Medium","qwenta,task,maintenance,ops"